Kana,Kanji,Type,Definition/s
あ,,int,Ah
ああ,,int,"like that,that way"
あいさつ・する,,"n,vs",greeting
あいだ,間,n,"space,interval"
あう,合う,u-v,"to fit,to match"
あかちゃん,,n,"baby,infant"
あがる,上がる,u-v,"to rise,to go up"
あかんぼう,赤ん坊,n,baby
あく,空く,"u-v,vi","to open,to become empty"
アクセサリー,,n,accessory
あげる,,ru-v,to give
あさい,浅い,adj,"shallow,superficial"
あじ,味,"adj-na,n","flavor,taste"
アジア,,n,Asia
あす,明日,n-t,tomorrow
あそび,遊び,"n,n-suf",play
あつまる,集る,u-v,"to gather,to collect"
あつめる,集める,"ru-v,vt","to collect,to assemble"
アナウンサー,,n,announcer
アフリカ,,n,Africa
アメリカ,,n,America
あやまる,謝る,u-v,to apologize
アルコール,,n,alcohol
アルバイト,,n,part-time job
あんしん,安心,"adj-na,n, vs","peace of mind,relief"
あんぜん,安全,"adj-na,n","safety,security"
あんな,,"adj-na,adj-pn","such,like that"
あんない・する,案内,"n,vs","information,guidance"
いか,以下,n,"less than,below"
いがい,以外,n,"with the exception of,excepting"
いがく,医学,n,medical science
いきる,生きる,ru-v,"to live,to exist"
いくら～ても,,,however much one may ～
いけん,意見,n,"opinion,view"
いし,石,n,stone
いじめる,,ru-v,"to tease,to torment"
いじょう,以上,"n-adv,n-t","more than,this is all"
いそぐ,急ぐ,u-v,"to hurry,to rush"
いたす,致す,u-v,(hum) to do
いただく,,u-v,"to receive,to take food or drink (hum)"
いちど,一度,n-adv,"once,one time"
いっしょうけんめい,一生懸命,"adj-na,n-adv,n","as well as one can,with utmost effort"
いっぱい,,adv,"full,to the utmost"
いと,糸,"n,n-suf",thread
いない,以内,"n,n-suf","within,inside of"
いなか,田舎,giku n,"rural,countryside"
いのる,祈る,"u-v,vi","to pray,to wish"
いらっしゃる,,aru-v,"(hon) to be,to come,to go"
～いん,～員,n-suf,member of ～
うえる,植える,ru-v,"to plant,to grow"
うかがう,,"u-v,vi,vt",to visit
うかがう,,"u-v,vi,vt",to ask
うけつけ,受付,n,"reception (desk),information ガス"
うける,受ける,ru-v,"to take (lesson, test),to undergo"
うごく,動く,"u-v,vi",to move
うそ,,n,lie
うち,,n,within
うつ,打つ,u-v,"to hit,to strike"
うつくしい,美しい,adj,"beautiful,lovely"
うつす,写す,u-v,"copy,to photograph,to film"
うつる,移る,u-v,"to move (house),to transfer (department)"
うで,腕,n,arm
うまい,,adj,delicious
うら,裏,n,"reverse side,wrong side,back"
うりば,売り場,"adj-no,n",place where things are sold
うれしい,,adj,"happy,glad"
うん,,n,"yes (informal),alright"
うんてんしゅ,運転手,n,"driver,chauffeur"
うんてん・する,運転,"n,vs",driving
うんどう・する,運動,"n,vs",exercise
エスカレーター,,n,escalator
えだ,枝,n,"branch,twig"
えらぶ,選ぶ,v5b,"to choose,to select"
えんりょ・する,遠慮,"adj-na,n,vs","restraint,reserve"
おいでになる,,u-v,(hon)to be
おいわい,お祝い,n,"congratulation,celebration"
オートバイ,,n,motorcycle (lit: auto-bi(ke))
オーバー,,"adj-na,n,vs",overcoat
おかげ,,n,thanks or owing to
おかしい,,adj,"strange,funny"
～おき,,,after every ～
おく,億,num,"100,000,000,hundred million"
おくじょう,屋上,n,rooftop
おくりもの,贈り物,n,"present,gift"
おくる,送る,u-v,"to send (a thing),to dispatch"
おくれる,遅れる,ru-v,"to be late,to be delayed"
おこさん,お子さん,n,(someone else's) child
おこす,起こす,u-v,to wake someone
おこなう,行う,u-v,"to perform, to do, to carry out"
おこる,怒る,u-v,"to get angry,to be angry"
おしいれ,押し入れ,n,closet
おじょうさん,お嬢さん,n,"(1) (hon) daughter,(2) young lady"
おたく,お宅,n,"(pol) your house,your home"
おちる,落ちる,ru-v,"to fall,to drop"
おっしゃる,,aru-v,"(hon) to say,to speak"
おっと,夫,n,husband
おつり,,n,"change (money),balance"
おと,音,"n,n-suf","sound,note"
おとす,落す,u-v,"to drop,to lose"
おどり,踊り,n,dance
おどる,踊る,u-v,to dance
おどろく,驚く,u-v,"to be surprised,to be astonished"
おまつり,お祭り,,festival
おみまい,お見舞い,n,"calling on someone who is ill,enquiry"
おみやげ,お土産,n,souvenir
おもいだす,思い出す,u-v,"to recall,to remember"
おもう,思う,u-v,"to think,to feel"
おもちゃ,,n,toy
おもて,表,"n,n-suf","the front,surface,exterior"
おや,親,n,parents
おりる,下りる,ru-v,"to descend a mountain,to (descend) go down stairs "
おる,,u-v,to be (polite version of いる)
おる,折る,u-v,"to break,to fold,to pick a flower"
おれい,お礼,n,"thanking,expression of gratitude"
おれる,折れる,"ru-v,vi,vt","to break,to be folded,to give in,to turn (a corner)"
おわり,終わり,n,the end
～おわる,,suf,end of ～
～か,～家,,professional ～
カーテン,,n,curtain
～かい,～会,,～ meeting
かいがん,海岸,n,"coast,beach"
かいぎ,会議,n,"meeting,conference"
かいぎしつ,会議室,n,conference room
かいじょう,会場,n,"assembly hall,meeting place,the grounds"
かいわ,会話,n,conversation
かえり,帰り,n,"return,coming back"
かえる,変える,"ru-v,vt","to change,to alter,to vary"
