Kana,Kanji,Type,Definition/s
かがく,科学,n,science
かがみ,鏡,n,mirror
～がくぶ,～学部,,department of a university
かける,掛ける,,"to hang,to put on (eg wall)"
かける,,,to sit down
かける,,,to begin to
かざる,飾る,u-v,"to decorate,to ornament,to adorn"
かじ,火事,n,fire
ガス,,n,gas
ガソリン,,n,"gasoline,petrol"
ガソリンスタンド,,n,"gasoline stand,gas station,petrol station"
かた,方,n-suf,way of doing
かたい,堅/硬/固い,adj,"solid,hard,firm"
かたち,形,n,shape
かたづける,片付ける,ru-v,"to tidy up,to put in order,to put away"
かちょう,課長,n,section manager
かつ,勝つ,u-v,"to win,to gain victory"
かっこう,,"no--adj, na-adj","appearance,manner"
かない,家内,n,housewife
かなしい,悲しい,adj,"sad,sorrowful"
かならず,必ず,adv,"certainly,necessarily,invariably"
かねもち/おかねもち,お・金持ち,n,rich man
かのじょ,彼女,n,"she,girl-friend"
かべ,壁,n,wall
かまう,,u-v,"to mind,to care about"
かみ,髪,n,hair
かむ,噛む,u-v,"to bite,to chew"
かよう,通う,u-v,"(1) to go back and forth,(2) to commute"
ガラス,,n,"glass,pane"
かれ,彼,n,"he,boyfriend"
かれら,彼ら,n,they (usually male)
かわく,乾く,"u-v,vi",to get dry
かわり,代わり,n,"substitute,alternate"
かわる,変わる,"u-v,vi","to change,to be transformed,to vary"
かんがえる,考える,ru-v,to consider
かんけい,関係,"n,vs","relation,connection"
かんごふ,看護婦,n,(female) nurse
かんたん,簡単,"adj-na,n",simple
がんばる,頑張る,u-v,"to try one's best,to persist"
き,気,n,"spirit,mood"
きかい,機会,n,"chance,opportunity"
きけん,危険,"adj-na,n","danger,peril,hazard"
きこえる,聞こえる,ru-v,"to be heard,to be audible"
きしゃ,汽車,n,train (steam)
ぎじゅつ,技術,n,"art,technique,technology,skill"
きせつ,季節,n,season
きそく,規則,n,"rule,regulations"
きっと,,"adv,n","surely,definitely"
きぬ,絹,n,silk
きびしい,厳しい,adj,strict
きぶん,気分,n,"feeling,mood"
きまる,決る,u-v,"to be decided,to be settled"
きみ,君,"n,suf",You (masculine term for female)
きめる,決める,ru-v,to decide
きもち,気持ち,n,"feeling,sensation,mood"
きもの,着物,n,kimono
きゃく,客,n,"guest,customer"
きゅう,急,"adj-na,n","(1) urgent,sudden,(2) steep"
きゅうこう,急行,n,express (eg train that bypasses stations)
きょういく,教育,"adj-no,n,vs","training,education"
きょうかい,教会,n,church
きょうそう,競争,"n,vs","competition,contest"
きょうみ,興味,n,interest (in something)
きんじょ,近所,n,neighbourhood
～く,～区,n,district ～
ぐあい,具合,n,"condition,state,health"
くうき,空気,n,"air,atmosphere"
くうこう,空港,n,airport
くさ,草,n,grass
くださる,,aru-v,"(hon) to give,to confer"
くび,首,n,neck
くも,雲,n,cloud
くらべる,比べる,ru-v,to compare
くれる,,ru-v,"to give,to do for"
くれる,暮れる,ru-v,"to get dark,to come to an end"
～くん,～君,n-suf,"Mr (junior) ～,master ～"
け,毛,n,hair
け,毛,n,fur
けいかく・する,計画,"n,vs","plan,project,schedule"
けいけん・する,経験,"n,vs",experience
けいざい,経済,n,"economics,finance,economy"
けいさつ,警察,n,police
けが・する,,"n,vs","injury (to animate object),hurt"
ケーキ,,n,cake
けしき,景色,n,"scenery,scene,landscape"
けしゴム,消しゴム,n,eraser
げしゅく,下宿,"n,vs","boarding,lodging,boarding house"
けっして,決して,adv,never
けれど/けれども,,conj,"but,however"
～けん,～軒,,counter for houses
げんいん,原因,n,"cause,origin,source"
けんか・する,,n,quarrel
げんかん,玄関,n,entrance way (in Japanese house)
けんきゅう,研究,"n,vs","study,research,investigation"
けんきゅうしつ,研究室,n,"study room,laboratory"
けんぶつ,見物,n,"a sight,an attraction"
こ,子,n,child
ご～,御～,prefix,honourable ～
こう,,"adv,int-n","like this,this way"
こうがい,郊外,n,"suburb,outskirts"
こうぎ,講義,"n,vs",lecture
こうぎょう,工業,n,(manufacturing) industry
こうこう/こうとうがっこう,高校/高等学校,n,high school/senior high school
こうこうせい,高校生,n,high school student
こうじょう,工場,n,factory
こうちょう,校長,n,"principal,headmaster"
こうつう,交通,n,"traffic,transportation"
こうどう,講堂,n,auditorium
こうむいん,公務員,n,"government worker,public servant"
こくさい,国際,n,international
こころ,心,n,"core,heart"
～ございます,,expr,"to be (polite),to exist"
ごしゅじん,ご主人,n,"your husband,her husband"
こしょう・する,故障,"n,vs",break-down
ごぞんじ,ご存じ,n,"knowing,acquaintance"
こたえ,答,n,"answer,response"
ごちそう,,"n,vs","feast,treating (someone)"
こっち,,n,"(1) this person,(2) this direction,(3) this side,(4) thereafter"
こと,,n,"thing,matter,fact"
ことり,小鳥,n,small bird
このあいだ,,n-adv,"the other day,recently"
このごろ,,,"these days,nowadays"
こまかい,細かい,adj,"(1) small,(2) fine,minute"
ごみ,,n,"rubbish,trash,garbage"
こむ,込む,u-v,to be crowded
こめ,米,n,uncooked rice
ごらんになる,,,(hon) to see
これから,,n-t,after this
こわい,怖い,adj,"scary,frightening"
こわす,壊す,"u-v,vt","to break,to break down"
こわれる,壊れる,"ru-v,vi","to be broken,to break"
コンサート,,n,concert
こんど,今度,"n-adv,n-t","now,next time"
コンピュータ/コンピューター,,n,computer
こんや,今夜,"n-adv,n-t","this evening,tonight"
さいきん,最近,"adj-no,n-adv,n-t","latest,most recent,nowadays"
さいご,最後,n,"last,end,conclusion"
さいしょ,最初,"adj-no,n-adv,n-t","beginning,first"
さか,坂,n,"slope,hill"
さがす,探す,u-v,"to search,to seek,to look for"
さがる,下る,u-v,"to get down,to descend"
さかん,盛ん,"adj-na,n","popularity,prosperous"
さげる,下げる,ru-v,"to hang,to lower,to move back"
さしあげる,差し上げる,ru-v,"(polite) to give,to offer"
さっき,,n,some time ago
さびしい,寂しい,adj,"lonely,lonesome"
～さま,～様,n-suf,Mr or Mrs ～
さらいげつ,さ来月,,the month after next
さらいしゅう,さ来週,"n-adv,n-t",the week after next
サラダ,,n,salad
さわぐ,騒ぐ,u-v,"to make noise,to clamor,to be excited"
さわる,触る,u-v,"to touch,to feel"
さんぎょう,産業,n,industry
サンダル,,n,sandal
サンドイッチ,,n,sandwich
ざんねん,残念,"adj-na,n","bad luck,disappointment"
し,市,n,city
じ,字,n,"character,hand-writing"
しあい,試合,n,"match,game,contest"
しかた,仕方,n,"way,method"
しかる,,u-v,to scold
～しき,～式,,ceremony
しけん,試験,"n,vs","examination,test,study"
じこ,事故,n,accident
じしん,地震,n,earthquake
じだい,時代,n-t,"period,epoch,era"
したぎ,下着,n,underwear
したく・する,支度,"n,vs",preparation
しっかり,,"adj-na,adv,n","firmly,tightly,steady"
しっぱい,失敗,"adj-no,n,vs","failure,mistake,blunder"
しつれい,失礼,"adj-na,int,n,vs,exp","(1) discourtesy,impoliteness,(2) Excuse me,Goodbye"
じてん,辞典,n,dictionary
しなもの,品物,n,goods
しばらく,,"adv,int",little while
しま,島,n,island
（～て）しまう,,u-v,to end up ～
しみん,市民,n,citizen
じむしょ,事務所,n,office
しゃかい,社会,n,"society,public"
しゃちょう,社長,n,"company president,manager,director"
じゃま,,"adj-na,n,vs","hindrance,intrusion"
ジャム,,n,jam
じゆう,自由,"adj-na,exp,n",freedom
しゅうかん,習慣,n,"custom,habit,manners"
じゅうしょ,住所,n,"address (eg of house),residence,domicile"
じゅうどう,柔道,n,judo
じゅうぶん,十分,,"enough ,sufficient"
しゅっせき・する,出席,"n,vs","attendance,presence"
しゅっぱつ・する,出発,"n,vs",departure
しゅみ,趣味,n,hobby
じゅんび・する,準備,n,prepare
しょうかい,紹介,"n,vs",introduction
しょうがつ,正月,n,"New Year,New Year's Day"
しょうがっこう,小学校,n,"primary school,elementary school"
しょうせつ,小説,n,"novel,story"
しょうたい・する,招待,"n,vs",invitation
しょうち・する,承知,"n,vs","consent,acceptance"
しょうらい,将来,"n-adv,n-t","future,prospects"
しょくじ・する,食事,"n,vs",meal
しょくりょうひん,食料品,n,"foodstuff,groceries"
じょせい,女性,n,woman
しらせる,知らせる,ru-v,"to notify,to advise"
しらべる,調べる,"ru-v,vt","to investigate,to check up"
じんこう,人口,n,population
じんじゃ,神社,n,Shinto shrine
しんせつ,親切,"adj-na,n","kindness,gentleness"
しんぱい・する,心配,"adj-na,n,vs","worry,concern"
しんぶんしゃ,新聞社,n,newspaper company
すいえい,水泳,"n,vs",swimming
すいどう,水道,n,"water service,water supply"
ずいぶん,,"adj-na,n-adv",extremely
すうがく,数学,n,"mathematics,arithmetic"
スーツ,,n,suit
スーツケース,,n,suitcase
スーパー（マーケット）,,n,super (market)
すぎる,過ぎる,"ru-v,vi","to exceed,to go beyond"
すく,,"u-v,vi",to become empty
すく,,"u-v,vi",to be less crowded
スクリーン,,n,screen
すごい,凄い,adj,"terrific,amazing,to a great extent"
すすむ,進む,u-v,"to make progress,to advance,to proceed"
すっかり,,adv,"all,completely,thoroughly"
ずっと,,"adv,n","straight,quickly,all of a sudden"
ステーキ,,n,steak
ステレオ,,n,stereo
すてる,捨てる,ru-v,to throw away
すな,砂,n,sand
すばらしい,,adj,"wonderful,splendid"
すべる,滑る,u-v,"to slide,to slip"
すみ,隅,"n,n-suf","corner,nook"
すむ,済む,u-v,"to finish,to end"
すり,,n,pickpocket
すると,,conj,"and,then"
～せい,～製,,made in　～
せいかつ・する,生活,"n,vs","living,life (one's daily existence),livelihood"
せいさん・する,生産,"ru-v,vi","production,manufacture"
せいじ,政治,n,"politics,government"
せいよう,西洋,n,"the west,Western countries"
せかい,世界,n,the world
せき,席,n,seat
せつめい,説明,"n,vs",explanation
せなか,背中,n,back (of body)
ぜひ,,"adv,n","certainly,without fail"
せわ・する,世話,"n,vs","looking after,help"
せん,線,"n,n-suf","line,wire"
ぜんぜん,,adv,"wholly,entirely"
せんそう,戦争,"n,vs",war
せんぱい,先輩,n,"senior,superior,elder"
せんもん,専門,n,"speciality,study major"
そう,,adv,really
そうだん・する,相談,"n,vs","consultation,discussion"
そだてる,育てる,"ru-v,vt","to raise,to rear,to bring up"
そつぎょう,卒業,"n,vs",graduation
そふ,祖父,n,grandfather
ソフト,,n,soft
そぼ,祖母,n,grandmother
それで,,conj,"and,thereupon,because of that"
それに,,conj,"besides,moreover"
それほど,,adv,"to that degree,extent"
そろそろ,,n,"gradually,steadily,soon"
そんな,,"adj-na,adj-pn,adv,n","such,like that,that sort of"
そんなに,,uk,"so much,like that"
～だい,～代,,～ age/period
たいいん・する,退院,"n,vs",leaving hospital
だいがくせい,大学生,n,"college student,university student"
だいじ,大事,"adj-na,n","important,valuable,serious matter"
だいたい,大体,n,"generally,substantially"
たいてい,,"adj-na,adv,n","generally,usually"
タイプ,,n,"type,style"
だいぶ,大分,adv,"considerably,greatly,a lot"
たいふう,台風,n,typhoon
たおれる,倒れる,"ru-v,vi","to collapse,to break down"
だから,,"conj,n","so,therefore"
たしか,確か,"adj-na,adv,exp,n","certain,sure,definite"
たす,足す,u-v,"to add (numbers),to do (eg. one's business)"
～だす,,,start to ～
たずねる,訪ねる,ru-v,to visit
たずねる,尋ねる,ru-v,to ask
ただしい,正しい,adj,"right,just,correct"
たたみ,畳,n,tatami mat (Japanese straw mat)
～だて,建て,n,"two storied,separate housing"
たてる,立てる,ru-v,"to stand (something) up,to erect (something)"
たてる,建てる,ru-v,"to build,to construct"
たとえば,例えば,adv,"for example,eg."
たな,棚,n,"shelves,rack"
たのしむ,楽む,u-v,to enjoy oneself
たのしみ,楽しみ,n,"pleasure,joy"
たまに,,"adv,suf","occasionally,once in a while"
ため,為,n,"good,advantage,in order to"
だめ,,"adj-na,n","useless,no good,hopeless"
たりる,足りる,ru-v,"to be sufficient,to be enough"
だんせい,男性,n,"male,man"
だんぼう,暖房,n,heating
ち,血,n,blood
チェック・する,,n,check
ちから,力,n-suf,"strength,power"
ちっとも,,adv,not at all (neg. verb)
～ちゃん,,n,suffix for familiar (female) person
ちゅうい,注意,"n,vs","caution,being careful,attention (heed)"
ちゅうがっこう,中学校,n,"junior high school,middle school pupil"
ちゅうしゃ,注射,"n,vs",injection
ちゅうしゃじょう,駐車場,n,"parking lot,parking place"
～ちょう,～町,n,～ of the town
ちり,地理,n,geography
～（に）ついて,,expr,"about,concerning,regarding"
つかまえる,捕まえる,ru-v,"to catch,to arrest,to seize"
つき,,n-suf,moon
～つき,～月,n-temp,month
つく,点く,"u-v, intrans-verb","to be started,to be switched on"
つける,,ru-v,to take
つける,漬ける,ru-v,"to soak,to moisten,to pickle"
つごう,都合,"adv,n","circumstances,condition,convenience"
つたえる,伝える,ru-v,"to tell,to report"
つづく,続く,"u-v,vi",to be continued
～つづける,～続ける,"ru-v,vt",to continue doing ～
つづける,続ける,"ru-v,vt","to continue,to keep up,to keep on"
つつむ,包む,u-v,"wrap,pack"
つま,妻,n,(hum) wife
つもり,,n,"intention,plan"
つる,釣る,u-v,to fish
つれる,連れる,ru-v,"to lead,to take (a person)"
ていねい,丁寧,"adj-na,n","polite,courteous"
テキスト,,n,"(1)text,(2)text book"
てきとう,適当,"adj-na,n","fitness,suitability"
できる,,ru-v,to be able to do
できるだけ,,,"if at all possible,as much as possible"
てつだう,手伝う,u-v,"to help,to assist,to take part in"
テニス,,n,tennis
てぶくろ,手袋,n,glove
てら,寺,n,temple
てん,点,"n,n-suf","spot,mark,point,dot"
てんいん,店員,n,"shop assistant,employee,clerk,salesperson"
てんきよほう,天気予報,,"weather forecast,weather report"
でんとう,電灯,n,electric light
でんぽう,電報,n,telegram
てんらんかい,展覧会,n,exhibition
と,都,n,"metroplitan,municipal"
どうぐ,道具,n,"tool,means"
とうとう,,,"finally,at last"
どうぶつえん,動物園,n,zoo
とおく,遠く,"adj-no,n-adv,n","far away,distant"
とおり,通り,n-suf,"～ Street,～ Avenue"
とおる,通る,u-v,"to pass (by),to go through"
とくに,特に,adv,"particularly,especially"
とくべつ,特別,"adj-na,adv,n",special
とこや,,n,barber
とちゅう,途中,"n-adv,n-t","on the way,en route,midway"
とっきゅう,特急,n,"limited express (train, faster than an express)"
とどける,届ける,ru-v,to reach
とまる,泊まる,u-v,to stay at (eg. hotel)
とめる,止める,"ru-v,vt",to stop (something)
とりかえる,取り替える,ru-v,"to exchange,to replace"
どろぼう,泥棒,"n,vs","thief,burglar,robber"
どんどん,,adv,"steadily,little by little"
なおす,直す,"u-v,vt","to fix,to repair"
なおる,直る,"u-v,vi","to be fixed,to be repaired"
なおる,治る,"u-v,vi","to be cured,to heal"
なかなか,中々,adv,"very,considerably,quite"
なく,泣く,u-v,"to cry,to weep"
なくなる,無くなる,u-v,"to disappear,to get lost"
なくなる,亡くなる,u-v,to die
なげる,投げる,ru-v,"to throw,to cast away"
なさる,,aru-v,(hon) to do
なる,鳴る,u-v,"to sound,to ring,to resound"
なるべく,,adv,as much as possible
なるほど,,"adv,exp","I see,now I understand"
なれる,慣れる,ru-v,to grow accustomed to
におい,,ru-v,"odour,scent,smell"
にがい,苦い,adj,bitter
～にくい,,suf,difficult to do ～
にげる,逃げる,ru-v,"to escape,to run away"
にっき,日記,n,"diary,journal"
にゅういん・する,入院,"n,vs",hospitalization
にゅうがく・する,入学,n,"entry to school or university,matriculation"
にる,似る,ru-v,"to resemble,to be similar"
にんぎょう,人形,n,"doll,puppet,figure"
ぬすむ,盗む,u-v,to steal
ぬる,塗る,u-v,"to paint,to plaster"
ぬれる,,ru-v,to get wet
ねだん,,n,"price,cost"
ねつ,熱,"n,n-suf","fever,temperature"
ねっしん,,"adj-na,n","zeal,enthusiasm"
ねぼう,寝坊,"n,vs",sleeping in late
ねむい,眠い,adj,"sleepy,drowsy"
ねむる,眠る,u-v,to sleep
のこる,残る,u-v,"to remain,to be left"
のど,,n,throat
のりかえる,乗り換える,ru-v,"to transfer (trains),to change (bus, train)"
のりもの,乗り物,n,vehicle
は,葉,n,leaf
ばあい,場合,"n-adv,n","case,situation"
パート（タイム）,,"n-adv,n",part time (esp female part time employees)
ばい,倍,"n,vi,vs,vt","twice,double"
はいけん・する,拝見,"n,vs","(hum) (pol) seeing,look at"
はいしゃ,歯医者,n,dentist
～ばかり,,suf,"just did ～,only"
はこぶ,運ぶ,v5b,"to transport,to carry"
～はじめる,～始める,"ru-v,vt","to start doing　～,the beginning of ～"
はじめる,始める,"ru-v,vt","to start,to begin"
ばしょ,場所,n,"place,location"
はず,,n,it should be so
はずかしい,恥ずかしい,adj,"shy,ashamed,embarrassed"
パソコン,,n,(personal) computer
はつおん,発音,"n,vs",pronunciation
はっきり,,"adv,n","clearly,plainly,distinctly"
はなみ,花見,"n,vs","cherry-blossom viewing,flower viewing"
パパ,,n,"papa,father"
はやし,林,n,"woods,forester"
はらう,払う,u-v,to pay
ばんぐみ,番組,n,program (eg. TV)
はんたい,反対,"adj-na,n,vs","oppose,opposition,resistance"
ハンバーグ,,n,"hamburger (meat, no bun)"
ひ,日,"n-adv,n-t","sun,sunshine,day"
ひ,火,"n,n-suf","fire,flame,blaze"
ピアノ,,n,piano
ひえる,冷える,"ru-v,vi","to grow cold,to get chilly,to cool down"
ひかる,光る,"ru-v,vi","to shine,to glitter"
ひかり,光,n,light
ひきだし,引き出し,n,"drawer,drawing out"
ひげ,,n,beard
ひこうじょう,飛行場,n,airport
ひさしぶり,久しぶり,exp,after a long time
びじゅつかん,美術館,n,"art gallery,art museum"
ひじょうに,非常に,adv,"very,extremely,exceedingly"
びっくりする,,vs,to be surprised
ひっこす,引っ越す,u-v,"to move,to change residence"
ひつよう,必要,"adj-na,n","necessary,essential"
ひどい,,adj,"cruel,awful"
ひらく,開く,u-v,to open (eg. a festival)
ビル,,n,"(abbr) building,bill"
ひるま,昼間,"n-adv,n-t","daytime,during the day"
ひるやすみ,昼休み,"n-adv,n-t","lunch break,noon recess,noon rest period"
ひろう,拾う,u-v,"to pick up,to find,to gather"
ファックス,,"ru-v,vi",fax
ふえる,増える,"ru-v,vi","to increase,to multiply"
ふかい,深い,adj,"deep,profound,thick"
ふくざつ,複雑,"adj-na,n","complexity,complication"
ふくしゅう,復習,"n,vs","review,revision"
ぶちょう,部長,adjn,head of a section
ふつう,普通,"adj-na,adj-no,adv,n","(1) generally,ordinarily,usually,(2) train that stops at every station"
ぶどう,,n,grapes
ふとる,太る,u-v,"to grow fat (stout, plump),to become fat"
ふとん,布団,n,"bedding (Japanese style),futon"
ふね,舟,n,"ship,boat"
ふべん,不便,"adj-na,n",inconvenience
ふむ,踏む,u-v,"to step on,to tread on"
プレゼント,,n,"present,gift"
ぶんか,文化,n,"culture,civilization"
ぶんがく,文学,n,literature
ぶんぽう,文法,n,grammar
べつ,別,"adj-na,n,n-suf","distinction,different"
ベル,,n,bell
へん,変,"adj-na,n","strange,odd,peculiar"
へんじ,返事,"n,vs","reply,answer"
ぼうえき,貿易,n,trade (foreign)
ほうそう・する,放送,"n,vs","broadcast,broadcasting"
ほうりつ,法律,n,law
ぼく,僕,n,"(male) I,manservant"
ほし,星,n,star
ほど,,n,"degree,extent"
ほとんど,,"n-adv,n-t","mostly,almost"
ほめる,,ru-v,to praise
ほんやく,翻訳,"n,vs",translation (written)
まいる,参る,u-v,"(1) (hum) to go,to come"
まける,負ける,ru-v,"to lose,to be defeated"
まじめ,,"adj-na,n","diligent,serious"
まず,,adv,"first (of all),to start with"
または,,"conj,exp","or,otherwise"
まちがえる,間違える,ru-v,"to err,to make a mistake"
まにあう,間に合う,u-v,(1) to be in time for
～まま,,n,as it is
まわり,周り,"n,n-suf","surroundings,circulation"
まわる,回る,u-v,"to go around,to revolve"
まんが,漫画,n,"comic,cartoon"
まんなか,真中,n,"middle,centre"
みえる,見える,ru-v,"to be seen,to be in sight"
みずうみ,湖,n,lake
みそ,味噌,n,"miso,bean paste"
みつかる,見つかる,u-v,"(uk) to be found,to be discovered"
みつける,見つける,ru-v,"to discover,to find"
みな,皆,"adv,n","everyone,everybody"
みなと,港,n,"harbour,port"
むかえる,迎える,u-v,to go out to meet
むかう,向かう,u-v,"to face,to go towards"
むかし,昔,"adj-no,n-adv,n-t","olden days,former"
むし,虫,n,insect
むすこ,息子,n,(hum) son
むすめ,娘,n,(hum) daughter
むり,無理,"adj-na,n,vs","unreasonable,impossible"
～め,～目,suf,"number ～ sequence,～nd/th"
めしあがる,召し上がる,u-v,(pol) to eat
めずらしい,珍しい,adj,"unusual,rare"
もうしあげる,申し上げる,ru-v,"to say,to tell"
もうす,申す,u-v,"(hum) to be called,to say"
もうすぐ,,expr,"soon, very soon"
もし,,adv,if
もちろん,,adv,"certainly,of course"
もっとも,,adv,"most,extremely"
もどる,戻る,u-v,"to turn back,to return"
もめん,木綿,n,cotton
もらう,,u-v,to receive
もり,森,n,forest
やく,焼く,u-v,"to bake,to grill"
やくにたつ,役に立つ,u-v,"to be helpful,to be useful"
やくそく,約束,"n,vs","arrangement,promise"
やける,焼ける,"ru-v,vi","to burn,to be roasted,to be sunburnt"
やさしい,優しい,adj,"kind,gentle"
～やすい,,,easy to do ～
やせる,,ru-v,"to become thin,to lose weight"
やっと,,adv,"at last,at length"
やはり/やっぱり,,"adv,exp","as I thought,absolutely"
やむ,,"u-v,vi","to cease,to stop"
やめる,止める,ru-v,"to end,to stop,to resign"
やる,,u-v,(col)to do
やわらかい,柔らかい,adj,"soft,tender"
ゆ,湯,n,hot water
ゆうはん,夕飯,n,evening meal
ゆしゅつ・する,輸出,"n,vs",export
ゆにゅう・する,輸入,"n,vs",import
ゆび,指,n,finger
ゆびわ,指輪,n,(finger) ring
ゆめ,夢,n,dream
ゆれる,揺れる,ru-v,"to shake,to sway"
よう,様,adj-na,"way,manner,kind"
よう,用,"n,n-suf","task,business,use"
ようい,用意,"n,vs",preparation
ようじ,用事,n,"tasks,chores"
よごれる,汚れる,ru-v,"to get dirty,to become dirty"
よしゅう,予習,"n,vs",preparation for a lesson
よてい,予定,"n,vs","plans,arrangement,schedule"
よやく,予約,"n,vs","reservation,booking"
よる,寄る,u-v,"to visit,to drop in"
（～に）よると,,,according to ～
よろこぶ,喜ぶ,v5b,"to be delighted,to be glad"
よろしい,,adj,"(hon) good,OK,all right"
りゆう,理由,n,"reason,pretext,motive"
りよう,利用,"n,vs","use,utilization"
りょうほう,両方,n,"both sides,both parties"
りょかん,旅館,n,"Japanese hotel,inn"
るす,留守,n,"absence,being away from home"
れいぼう,冷房,n,"cooling,air conditioning"
れきし,歴史,n,history
レジ,,n,register
レポート/リポート,,n,"report,essay,assignment (aus)"
れんらく,連絡,"n,vs","communication,contact,connection"
ワープロ,,n,word processor
わかす,沸かす,"u-v,vt","to boil,to heat"
わかれる,別れる,ru-v,"to be divided,to part from,to separate"
わく,沸く,u-v,"to boil,to grow hot,to get excited"
わけ,訳,n,"meaning,reason"
