Kana,Kanji,Type,Definition/s
ああ,,int,"Ah!,Oh!"
あう,会う,u-v,"to meet,to see"
あお,青,n,blue
あおい,青い,adj,blue
あか,赤,n,red
あかい,赤い,adj,red
あかるい,明るい,adj,"bright,cheerful"
あき,秋,n-adv,"autumn,fall"
あく,開く,"u-v,vi","to open,to become open"
あける,開ける,ru-v,to open
あげる,上げる,ru-v,to give
あさ,朝,"n-adv,n-t",morning
あさごはん,朝御飯,n,breakfast
あさって,,"n-adv,n-t",day after tomorrow
あし,足,n,"foot,leg"
あした,,n-t,tomorrow
あそこ,,n,"there,over there,that place"
あそぶ,遊ぶ,u-v,"to play,to enjoy oneself"
あたたかい,暖かい,adj,"warm,mild"
あたま,頭,n,head
あたらしい,新しい,adj,new
あちら,,n,"there,yonder,that"
あつい,暑い,adj,"hot,warm"
あつい,熱い,adj,hot (thing)
あつい,厚い,adj,"kind,warm(hearted),thick,deep"
あっち,,n col,over there
あと,後,"adj-no,n","afterwards,since then,in the future"
あなた,,n,you
あに,兄,n,(hum) older brother
あね,姉,n,(hum) older sister
あの,,pren-adj,that over there
あの,,int,um...
アパート,,"n,adv",apartment (abbr)
あびる,,ru-v,"to bathe,to shower"
あぶない,危ない,adj,"dangerous,critical,watch out!"
あまい,甘い,"adj,expr","generous,sweet"
あまり,,"na-adj,adv,n,n-suf","not very,not much"
あめ,雨,n,rain
あめ,飴,n,"(hard) candy,toffee"
あらう,洗う,u-v,to wash
ある [存在],,u-v-i,to be
ある [所有],,u-v-i,to have
あるく,歩く,u-v,to walk
あれ,,"int,n","that,that thing"
いい/よい,,adj,good
いいえ,,"int,n","no,not at all"
いう,言う,u-v,to say
いえ,家,suf,"house,family"
いかが,,"na-adj,adv,n","how,in what way"
いく/ゆく,行く,u-v,to go
いくつ,,n,"how many?,how old?"
いくら,,"adv,n","how much?,how many?"
いけ,池,n,pond
いしゃ,医者,n,doctor (medical)
いす,,n,chair
いそがしい,忙しい,adj,"busy,irritated"
いたい,痛い,adj,painful
いち,一,num,one
いちにち,一日,n,1 day (duration)
いちばん,,n-adv,"best,first,number one"
いつ,,gn-adv,when
いつか,五日,n,"five days,the fifth day (of the month)"
いっしょ,一緒,"adv,n",together
いつつ,五つ,n,five
いつも,,"adv,n","always,every time"
いぬ,犬,,dog
いま,今,,now
いみ,意味,"n,vs",meaning
いもうと,妹,n,younger sister
いや,嫌,"na-adj,n","disagreeable,no"
いりぐち,入口,n,"entrance,gate"
いる,居る,u-v," (hum) to be (animate),to exist"
いる,要る,u-v,to need
いれる,入れる,ru-v,to put in
いろ,色,n,colour
いろいろ,,"na-adj,adj-no,adv,n",various
うえ,上,"no-adj,n-adv,n,n-suf","above,on top of"
うしろ,後ろ,n,"behind,rear"
うすい,薄い,adj,"thin,weak"
うた,歌,n,song
うたう,歌う,u-v,to sing
うち,,n,house (one's own)
うまれる,生まれる,ru-v,to be born
うみ,海,n,"sea,beach"
うる,売る,u-v,to sell
うるさい,,adj,"noisy,loud,annoying"
うわぎ,上着,n,"coat,jacket"
え,絵,"n,n-suf","picture,drawing,painting,sketch"
えいが,映画,n,"movie,film"
えいがかん,映画館,n,"movie theatre (theater),cinema"
えいご,英語,n,the English language
ええ,,"conj,int,n",yes
えき,駅,n,station
エレベーター,,n,elevator
～えん,～円,n,yen (currency)
えんぴつ,鉛筆,n,pencil
お～,,prefix,honourable ～ (honorific)
おいしい,,adj,"delicious,tasty"
おおい,多い,adj,many
おおきい,大きい,adj,big
おおきな,大きな,na-adj,big
おおぜい,大勢,n,great number of people
おかあさん,お母さん,n,(hon) mother
おかし,お菓子,n,"confections,sweets,candy"
おかね,お金,n,money
おきる,起きる,ru-v,"to get up,to rise"
おく,置く,u-v,"to put,to place"
おくさん,奥さん,n,(hon) wife
おさけ,お酒,n,"alcohol,sake (rice wine)"
おさら,お皿,n,"plate,dish"
おじ・さん,伯父/叔父・さん,n,"uncle,middle aged man"
おじいさん,,n,"grandfather,male senior citizen"
おしえる,教える,ru-v,"to teach,to inform"
おす,押す,"u-v,vt","to push,to press"
おそい,遅い,adj,"late,slow"
おちゃ,お茶,n,tea (green)
おてあらい,お手洗い,,"toilet,lavatory,bathroom"
おとうさん,お父さん,n,(hon) father
おとうと,弟,n,younger brother
おとこ,男,n,man
おとこのこ,男の子,n,boy
おととい,,"n-adv,n-t",day before yesterday
おととし,,"n-adv,n-t",year before last
おとな,大人,n,adult
おなか,,n,stomach
おなじ,同じ,"na-adj,n","same,identical,similar"
おにいさん,お兄さん,n,(hon) older brother
おねえさん,お姉さん,n,(hon) older sister
おばさん,伯母さん/叔母さん,n,aunt
おばあさん,,n,"grandmother,female senior-citizen"
おふろ,お風呂,n,bath
おべんとう,お弁当,n,boxed lunch
おぼえる,覚える,ru-v,"to remember,to memorize"
おまわりさん,,n,policeman (friendly term)
おもい,重い,adj,heavy
おもしろい,,adj,"interesting,amusing"
およぐ,泳ぐ,u-v,to swim
おりる,降りる,ru-v,"to alight (eg from bus),to get off"
おわる,終る,u-v,"to finish,to close"
おんがく,音楽,n,music
おんな,女,n,"woman,girl,daughter"
おんなのこ,女の子,n,girl
～かい,～回,n,counter for occurrences
～かい,～階,n,counter for storeys of a building
がいこく,外国,n,foreign country
がいこくじん,外国人,n,foreigner
かいしゃ,会社,n,"company,corporation"
かいだん,階段,n,stairs
かいもの,買い物,n,shopping
かう,買う,u-v,to buy
かえす,返す,"u-v,vt",to return something
かえる,帰る,u-v,"to go home,to return"
かお,顔,n,face (person)
かかる,,"u-v,vi","to take (eg time, money)"
かぎ,,n,key/s
かく,書く,u-v,to write
がくせい,学生,n,student
～かげつ,～か月,suf,(number of) months
かける,,ru-v,to put on (eg glasses)
かける,,ru-v,to dial/call (eg phone)
かさ,傘,n,umbrella
かす,貸す,u-v,to lend
かぜ,風,n,"wind,breeze"
かぜ,風邪,n,"cold,illness"
かた,方,n,person
かぞく,家族,n,family
かたかな,片仮名,n,katakana
～がつ,～月,suf,month of year
がっこう,学校,n,school
カップ,,n,cup
かてい,家庭,n,"home,household"
かど,角,n,corner (e.g. desk)
かばん,,n,"bag,basket"
かびん,花瓶,n,(flower) vase
