Kana,Kanji,Type,Definition/s
かぶる,,u-v,"to wear,to put on (head)"
かみ,紙,n,paper
カメラ,,n,camera
かようび,火曜日,"n-adv,n",Tuesday
からい,辛い,adj,"spicy,salty"
からだ,体,n,body
かりる,借りる,ru-v,"to borrow,to have a loan"
～がる,,suf,feel
かるい,軽い,adj,"light,non-serious,minor"
カレー,,n,curry
カレンダー,,n,calendar
かわ,川/河,n,river
～がわ,側,n-suf,～ side
かわいい,,adj,"cute,charming"
かんじ,漢字,n,"kanji,Chinese character"
き,木,n,"tree,wood"
きいろ,黄色,n,yellow
きいろい,黄色い,adj,yellow
きえる,消える,ru-v,"to go out,to vanish"
きく,聞く,u-v,"to hear,to listen,to ask"
きた,北,,north
ギター,,n,guitar
きたない,汚い,adj,"dirty,messy"
きっさてん,喫茶店,n,coffee lounge
きって,切手,n,stamp (eg. postage)
きっぷ,切符,n,ticket
きのう,昨日,"n-adv,n-t",yesterday
きゅう,九,num,nine
ぎゅうにく,牛肉,n,beef
ぎゅうにゅう,牛乳,n,milk
きょう,今日,n-t,"today,this day"
きょうしつ,教室,n,classroom
きょうだい,兄弟,n,siblings (brothers and sisters)
きょねん,去年,"n-adv,n-t",last year
きらい,嫌い,"na-adj,n","dislike,hate"
きる,切る,"suf,u-v","to cut,to chop"
きる,着る,ru-v,"to wear,to put on (from shoulders down)"
きれい,,na-adj,"pretty,clean,nice,tidy"
キロ/キログラム,,"n,pref",kilo (kilogram)
キロ/キロメートル,,"n,pref",kilo (kilometre)
ぎんこう,銀行,n,bank
きんようび,金曜日,"n-adv,n",Friday
く,九,number,nine
くすり,薬,n,medicine
ください,,kana only,(with te-form verb) please do for me
くだもの,果物,n,fruit
くち,口,n,"mouth,orifice,opening"
くつ,靴,n,"shoes,footwear"
くつした,靴下,n,socks
くに,国,n,country
くもり,曇り,adv,"cloudiness,cloudy weather"
くもる,曇る,u-v,"to become cloudy,to become dim"
くらい,暗い,adj,"dark,gloomy"
～くらい/ぐらい,,suf,approximate (quantity)
クラス,,n,class
グラム,,n,gram
くる,来る,vk,to come
くるま,車,n,"car,vehicle"
くろ,黒,n,black
くろい,黒い,adj,black
けいかん,警官,n,policeman
けさ,今朝,n-temp,this morning
けす,消す,u-v,"to erase,to delete,to turn off power"
けっこう,結構,"na-adj,n-adv,n","nice,enough"
けっこん（する）,結婚,"adj-no,n,vs",marriage
げつようび,月曜日,"n-adv,n",Monday
げんかん,玄関,n,"entrance-way,entry hall"
げんき,元気,"na-adj,n",health
～こ,～個,"n,suf",counter for small items
ご,五,num,five
～ご,～語,"n,n-suf","word,language"
こうえん,公園,n,(public) park
こうさてん,交差点,n,intersection
こうちゃ,紅茶,n,black tea
こうばん,交番,n,police box
こえ,声,n,voice
コート,,n,coat
コーヒー,,n,coffee
ここ,,n,"here,this place"
ごご,午後,"n-adv,n-t","afternoon,P.M."
ここのか,九日,,"nine days,the ninth day (of the month)"
ここのつ,九つ,n,nine
ごぜん,午前,"n-adv,n-t","morning,A.M."
こたえる,答える,ru-v,"to answer,to reply"
こちら,,n,"this eg person, way"
こっち,,n,"this eg person, way"
コップ,,n,cup
ことし,今年,"n-adv,n-t",this year
ことば,言葉,n,word
こども,子供,n,"child,children"
この,,"adj-pn,int",this
ごはん,御飯,n,"rice (cooked),meal"
コピー・する,,"n,p-suru",to copy
こまる,困る,u-v,"to be worried,to be bothered"
これ,,"int,n", this
～ころ/～ごろ,,n-suf,"about,approximately (time)"
こんげつ,今月,"n-adv,n-t",this month
こんしゅう,今週,"n-adv,n-t",this week
こんな,,"na-adj,adj-pn,adv,n","such,like this"
こんばん,今晩,"n-adv,n-t","tonight,this evening"
さあ,,"conj,int","come now, well"
～さい,～歳,suf,～years-old
さいふ,財布,n,wallet
さかな,魚,n,fish
さき,先,"adj-no,n,n-suf,pref","the future,former,previous"
さく,咲く,u-v,to bloom
さくぶん,作文,n,"composition,writing"
さす,差す,u-v,"to raise (stretch out) hands,to raise (eg umbrella)"
～さつ,～冊,n,counter for books
ざっし,雑誌,n,magazine
さとう,砂糖,n,sugar
さむい,寒い,adj,cold (e.g. weather)
さらいねん,さ来年,"n-adv,n-t",year after next
～さん,,suf,Mr or Mrs
さん,三,num,three
さんぽ（する）,散歩,"n,vs","walk,stroll"
し,四,num,four
～じ,～時,suf,time (～ O'clock)
しお,塩,n,salt
しかし,,conj," however,but"
じかん,時間,"n-adv,n",time
～じかん,～時間,suf,～hours
しごと,仕事,"adj-no,n","work,occupation,employment"
じしょ,辞書,n,dictionary
しずか,静か,na-adj,"quiet,peaceful"
した,下,n,"under,below,beneath"
しち,七,num,seven
しつもん,質問,"n,vs","question,inquiry"
じてんしゃ,自転車,n,bicycle
じどうしゃ,自動車,n,automobile
しぬ,死ぬ,v5n,to die
じびき,字引,n,dictionary
じぶん,自分,n,"myself,oneself"
しまる,閉まる,"u-v,vi","to close,to be closed"
しめる,閉める,"ru-v,vt","to close,to shut"
しめる,締める,ru-v,"to tie,to fasten"
じゃ/じゃあ,,"conj,int","well,well then"
しゃしん,写真,n,photograph
シャツ,,n,"shirt,singlet"
シャワー,,n,shower
じゅう,十,num,ten
～じゅう,～中,suf,"during,while"
～しゅうかん,～週間,suf,～weeks
じゅぎょう,授業,"n,vs","lesson,class work"
しゅくだい,宿題,n,homework
じょうず,上手,"na-adj,n","skill,skillful,dexterity"
じょうぶ,丈夫,"na-adj,n","strong,solid,durable"
しょうゆ,,n,soy sauce
しょくどう,食堂,n,"cafeteria,dining hall"
しる,知る,u-v,"to know,to understand"
しろ,白,n,white
しろい,白い,adj,white
～にん,～人,"n,suf",counter for people
しんぶん,新聞,n,newspaper
すいようび,水曜日,"n-adv,n",Wednesday
すう,吸う,u-v,"to smoke,to breathe in,to suck"
スカート,,n,skirt
すき,好き,"na-adj,n","liking,fondness,love"
～すぎ,,suf,"to exceed,～ too much"
すくない,少ない,adj,"a few,scarce"
すぐ・に,,adv,"immediately,instantly"
すこし,少し,"adv,n","little,few"
すずしい,涼しい,adj,"cool,refreshing"
～ずつ,,suf,"at a time,gradually"
ストーブ,,n,heater (lit: stove)
スプーン,,n,spoon
スポーツ,,n,sport
ズボン,,n,trousers (fr: jupon)
すむ,住む,u-v,"to reside,to live in"
スリッパ,,n,slippers
する,,vs-i,"to do,to try"
すわる,座る,u-v,to sit
せい,背,n,"height,stature"
せいと,生徒,n,pupil
セーター,,n,"sweater,jumper"
せっけん,石鹸,n,soap
せびろ,背広,n,business suit
せまい,狭い,adj,"narrow,confined,small"
ゼロ,,n,zero
せん,千,,"thousand,many"
せんげつ,先月,"n-adv,n-t",last month
せんしゅう,先週,"n-adv,n-t","last week,the week before"
せんせい,先生,n,"teacher,master,doctor"
せんたく,洗濯,"n,vs","washing,laundry"
ぜんぶ,全部,"n-adv,n-t","all,entire,whole"
そう/そうです,,,"appears,to be the case"
そうじ（する）,掃除,"n,vs","cleaning,sweeping"
そうして/そして,,conj,"and,like that"
そこ,,n,"that place,there"
そちら,,n,over there
そっち,,n,over there
そと,外,n,"outside, exterior"
その,,adj-pn,that
そば,,n,"near,close,beside"
そら,空,n,sky
それ,,n,"it,that"
それから,,uk,"and then,after that"
それでは,,exp,"in that situation,well then..."
～だい,～台,suf,counter for vehicles/machines
だいがく,大学,n,university
たいしかん,大使館,n,embassy
だいじょうぶ,大丈夫,"na-adj,adv,n","safe,all right,O.K."
だいすき,大好き,"na-adj,n","very likeable,like very much"
たいせつ,大切,"na-adj,n",important
だいどころ,台所,n,kitchen
たいへん,,"na-adj,adv,n",very
たいへん,,"na-adj,adv,n","difficult situation,tough situation"
たかい,高い,adj,"tall,high"
たかい,高い,adj,expensive
～だけ,,prt,"only ～,just ～"
たくさん,,"na-adj,adv,n","many,a lot,much"
タクシー,,n,taxi
だす,出す,u-v,"to put out,to send"
～たち,,n-suf,plural suffix
たつ,立つ,u-v,to stand
たて,,n,"length,height"
たてもの,建物,n,building
たのしい,楽しい,adj,"enjoyable,fun"
たのむ,頼む,u-v,"to request,to ask"
たばこ,,n,"tobacco,cigarettes"
たぶん,,"adv,n","perhaps,probably"
たべもの,食べ物,n,food
たべる,食べる,ru-v,to eat
たまご,卵,n,egg(s)
だれ,誰,n,who
だれか,誰か,n,"someone,somebody"
たんじょうび,誕生日,n,birthday
だんだん,,"adv,n","gradually,by degrees"
ちいさい,小さい,adj,"small,little"
ちいさな,小さな,na-adj,"small,little"
ちかい,近い,"adj,suf","near,close by,short"
ちがう,違う,u-v,to differ (from)
ちかく,近く,"n-adv,n",near
ちかてつ,地下鉄,n,"underground train,subway"
ちず,地図,n,map
ちち,父,n,(one's own) father
ちゃいろ,茶色,n,brown
ちゃわん,,n,rice bowl
～ちゅう,～中,suf,"during,while ～ing"
ちょうど,,gn,"just,right,exactly"
ちょっと,,"adv,int","a little,somewhat"
ついたち,一日,n,"for one day,first of month"
つかう,使う,u-v,to use
つかれる,疲れる,ru-v,"to get tired,to tire"
つぎ,次,n,next
つく,着く,u-v,"to arrive at,to reach"
つくえ,机,n,desk
つくる,作る,u-v,"to make,to create"
つける,,"ru-v,vt",to turn on (eg a light)
つとめる,勤める,ru-v,"to serve,to work (for)"
つまらない,,adj,"insignificant,boring"
つめたい,冷たい,adj,cold (to the touch)
つよい,強い,adj,"strong,powerful"
て,手,n,hand
テープ,,n,tape
テープレコーダー,,n,tape recorder
テーブル,,n,table
でかける,出かける,ru-v,"to depart,to go out"
てがみ,手紙,n,letter
できる,,ru-v,to be able to
でぐち,出口,n,exit
テスト,,"n,vs",test
では,,expr,with that...
デパート,,n,department store
でも,,"conj,prt","but,however"
でる,出る,ru-v,"to appear,to leave"
テレビ,,n,"television,TV"
てんき,天気,n,weather
でんき,電気,n,"electricity,(electric) light"
でんしゃ,電車,n,electric train
でんわ,電話,"n,vs",telephone
と,戸,n,door (Japanese style)
～ど,～度,n-suf,counter for occurrences
ドア,,n,door (Western style)
トイレ,,n,toilet
どう,,adv,"how,in what way"
どうして,,"adv,int","why?,for what reason"
どうぞ,,adv,"please,kindly,by all means"
どうぶつ,動物,n,animal
どうも,,"adv,int","thanks,very"
とお,十,num,ten
とおい,遠い,adj,"far,distant"
とおか,十日,,"ten days,the tenth (day of the month)"
～とき,～時,"adv,n",at the time of ～
ときどき,時々,"adv,n",sometimes
とけい,時計,n,"watch,clock"
どこ,,n,"where,what place"
ところ,所,n,place
とし,年,n,"year,age"
としょかん,図書館,n,library
どちら,,n,"which,which way"
どっち,,n,"which one,which way"
とても,,adv,very
どなた,,n,who
となり,隣,n,"next to,next door to"
どの,,pren-adj,which
とぶ,飛ぶ,u-v,"to fly,to hop"
とまる,止まる,u-v,to come to a halt
ともだち,友達,n,friend
どようび,土曜日,"n-adv,n",Saturday
とり,鳥,n,bird
とりにく,とり肉,n,chicken meat
とる,取る,u-v,to take
とる,撮る,u-v,to take (a photo)
どれ,,n,which (of three or more)
どんな,,"na-adj,adj-pn,n","what,what kind of"
ない,,adj,"there isn't,doesn't have"
ナイフ,,n,knife
なか,中,n,"inside,middle,among"
ながい,長い,adj,long
～ながら,,prt,"while ~ing,during,although"
なく,鳴く,u-v,"to sing (bird),to make sound (animal)"
なくす,無くす,u-v,to lose something
なぜ,,adv,why
なつ,夏,"n-adv,n-t",summer
なつやすみ,夏休み,n,"summer vacation,summer holiday"
～など,,"n,n-suf,prt",et cetera
ななつ,七つ,n,seven
なん/なに,何,"int,n",what
なのか,七日,n-adv,"seven days,the seventh day (of the month)"
なまえ,名前,n,name
ならう,習う,u-v,to learn
ならぶ,並ぶ,"u-v,vi","to line up,to stand in a line"
ならべる,並べる,"ru-v,vt","to line up,to set up"
なる,,u-v,to become
なん～,何～,,what sort of ～
に,二,num,two
にぎやか,,"na-adj,n","bustling,busy"
にく,肉,n,meat
にし,西,n,west
～にち,～日,,"～ day of the month,for ～ days"
にちようび,日曜日,"n-adv,n",Sunday
にもつ,荷物,n,luggage
ニュース,,n,news
にわ,庭,n,garden
～にん,～人,,counter for people
ぬぐ,脱ぐ,u-v,to take off clothes
ぬるい,温い,adj,lukewarm
ネクタイ,,n,"tie,necktie"
ねこ,猫,n,cat
ねる,寝る,ru-v,"to go to bed,to sleep"
～ねん,～年,,～ years
ノート,,n,"notebook,exercise book"
のぼる,登る,u-v,to climb
のみもの,飲み物,n,"drink,beverage"
のむ,飲む,u-v,to drink
のる,乗る,u-v,"to get on,to ride in,to board"
は,歯,n,tooth
パーティー,,n,party
はい,,"conj,int",yes
～はい,～杯,n,counter for cupfuls
はいざら,灰皿,n,ashtray
はいる,入る,u-v,"to enter,to contain,to hold"
はがき,葉書,n,postcard
はく,,u-v,"to wear,to put on (trousers)"
はこ,箱,n,box
はし,橋,n,bridge
はし,,n,chopsticks
はじまる,始まる,"u-v,vi",to begin
はじめ,初め/始め,expr,"beginning,start"
はじめて,初めて,"adv,n",for the first time
はしる,走る,u-v,to run
バス,,n,bus
バター,,n,butter
はたち,二十歳,n,"20 years old,20th year"
はたらく,働く,u-v,to work
はち,八,num,eight
はつか,二十日,n,"twenty days,twentieth (day of the month)"
はな,花,n,flower
はな,鼻,n,nose
はなし,話,n,"talk,story"
はなす,話す,u-v,to speak
はは,母,n,(one's own) mother
はやい,早い,adj,early
はやい,速い,adj,"quick,fast"
はる,春,"n-adv,n-t",spring
はる,貼る,u-v,"to stick,to paste"
はれ,晴れ,ru-v,clear weather
はれる,晴れる,ru-v,to be sunny
はん,半,"n-adv,n,n-suf",half
ばん,晩,"n-adv,n-t",evening
～ばん,～番,"n-adv,n-t",～st/th best
パン,,n,bread
ハンカチ,,n,handkerchief
ばんごう,番号,n,number
ばんごはん,晩御飯,n,"dinner,evening meal"
はんぶん,半分,,half
ひがし,東,n,east
～ひき,～匹,,counter for small animals
ひく,引く,u-v,to pull
ひく,弾く,u-v,"to play (piano, guitar)"
ひくい,低い,adj,"short,low"
ひこうき,飛行機,n,"aeroplane,airplane"
ひだり,左,n,left hand side
ひと,人,n,"man,person"
ひとつ,一つ,n,one
ひとつき,一月,,one month
ひとり,一人,n,one person
ひま,暇,"na-adj,n","free time,leisure"
ひゃく,百,num,"100,hundred"
びょういん,病院,n,hospital
びょうき,病気,n,"illness,disease,sickness"
ひらがな,平仮名,n,hiragana
ひる,昼,"n-adv,n-t","noon,daytime"
ひるごはん,昼御飯,n,"lunch,midday meal"
ひろい,広い,adj,"spacious,wide"
フィルム,,n,film (roll of)
ふうとう,封筒,n,envelope
プール,,n,swimming pool
フォーク,,n,fork
ふく,吹く,u-v,"to blow (wind, etc)"
ふく,服,"n,n-suf",clothes
ふたつ,二つ,n,two
ぶたにく,豚肉,n,pork
ふたり,二人,n,two people
ふつか,二日,n,"second day of the month,two days"
ふとい,太い,adj,"fat,thick"
ふゆ,冬,"n-adv,n-t",winter
ふる,降る,u-v,"to precipitate,to fall (e.g. rain)"
ふるい,古い,adj,"old (not person),aged,ancient"
ふろ,,n,bath
～ふん,～分,suf,～minutes
ぶんしょう,文章,suf,"sentence,text"
ページ,,n,page
へた,下手,"na-adj,n","unskillful,poor"
ベッド,,n,bed
ペット,,n,pet
へや,部屋,n,room
へん,辺,n,"area,vicinity"
ペン,,n,pen
べんきょう（する）,勉強,"n,vs","study,diligence"
べんり,便利,"na-adj,n","convenient,handy"
ほう,,,way
ぼうし,帽子,n,hat
ボールペン,,n,ball-point pen
ほか,外,n,"other place,the rest"
ポケット,,n,pocket
ほしい,欲しい,adj,"want,in need of,desire"
ポスト,,n,post
ほそい,細い,adj,"thin,slender,fine"
ボタン,,n,button
ホテル,,n,hotel
ほん,本,n,book
～ほん,～本,,counter for long cylindrical things
ほんだな,本棚,n,bookshelves
ほんとう,,adv,"reality,truth"
～まい,～枚,,counter for flat things
まいあさ,毎朝,"n-adv,n-t",every morning
まいげつ/まいつき,毎月,"n-adv,n","every month,monthly"
まいしゅう,毎週,"n-adv,n-t",every week
まいにち,毎日,"n-adv,n-t",every day
まいねん/まいとし,毎年,n-t,"every year,annually"
まいばん,毎晩,"n-adv,n-t",every night
まえ,前,"n-adv,n-t,suf","before,in front"
～まえ,～前,suf,in front of ～
まがる,曲る,u-v,"to turn,to bend"
まずい,,adj,"unappetising,unpleasant (taste)"
また,,"adv,conj,n","again,and"
まだ,,adv,"yet,still,besides"
まち,町,n,"town,city"
まつ,待つ,u-v,to wait
まっすぐ,,"na-adj,adv,n","straight (ahead),direct"
マッチ,,n,match
まど,窓,n,window
まるい,丸い/円い,adj,"round,circular"
まん,万,"adv,num","ten thousand,everything"
まんねんひつ,万年筆,n,fountain pen
みがく,磨く,u-v,to brush (teeth)
みぎ,右,n,right hand side
みじかい,短い,adj,short
みず,水,n,water
みせ,店,"n,n-suf","store,shop,establishment"
みせる,見せる,ru-v,"to show,to display"
みち,道,n,"road,street"
みっか,三日,n,"three days,the third day (of the month)"
みっつ,三つ,n,three
みどり,緑,n,green
みなさん,皆さん,n,everyone
みなみ,南,"n,vs","South,proceeding south"
みみ,耳,n,ear
みる,見る,ru-v,"to see,to watch"
みんな,,"adv,n","all,everyone,everybody"
むいか,六日,,"six days,sixth (day of month)"
むこう,向こう,n,"beyond,over there"
むずかしい,難しい,adj,difficult
むっつ,六つ,num,six
むら,村,num,village
め,目,n,"eye,eyeball"
メートル,,n,"metre,meter"
めがね,眼鏡,n,"spectacles,glasses"
もう,,"adv,int",already
もう,,"adv,int",again
もくようび,木曜日,"n-adv,n",Thursday
もしもし,,"conj,int",hello (on phone)
もつ,持つ,u-v,"(1) to hold,to carry,(2) to possess"
もっと,,adv,"more,longer,farther"
もの,物,n,"thing,object"
もん,門,"n,n-suf",gate
もんだい,問題,n,"problem,question"
～や,屋,n,～ shop
やおや,八百屋,n,greengrocer
やさい,野菜,n,vegetable
やさしい,易しい,adj,"easy,plain,simple"
やすい,安い,adj,"cheap,inexpensive"
やすみ,休み,n,"rest,vacation,holiday"
やすむ,休む,"u-v,vi","to rest,to have a break,to take a day off"
やっつ,八つ,num,eight
やま,山,n,mountain
やる,,u-v,to do
ゆうがた,夕方,"n-adv,n-t",evening
ゆうはん,夕飯,n,dinner
ゆうびんきょく,郵便局,n,post office
ゆうべ,昨夜,n,last night
ゆうめい,有名,"na-adj,n",famous
ゆき,雪,n,snow
ゆっくり・と,,"adv,n","slowly,at ease"
ようか,八日,n,"eight days,the eighth (day of the month)"
ようふく,洋服,n,Western-style clothes
よく,,adv,"frequently,often"
よく,,adv,"well,skillfully"
よこ,横,n,"beside,side,width"
よっか,四日,n,"(1) 4th day of month,(2) four days"
よっつ,四つ,n,four
よぶ,呼ぶ,u-v,"to call out,to invite"
よむ,読む,u-v,to read
よる,夜,n,"evening,night"
よわい,弱い,adj,"weak,feable"
らいげつ,来月,"n-adv,n-t",next month
らいしゅう,来週,,next week
らいねん,来年,"n-adv,n-t",next year
ラジオ,,n,radio
ラジカセ,,n,radio cassette player
りっぱ,,"na-adj,n","splendid,fine"
りゅうがくせい,留学生,n,overseas student
りょうしん,両親,n,"parents,both parents"
りょうり,料理,"n,vs","cooking,cuisine"
りょこう,旅行,"n,vs","travel,trip"
れい,零,n,"zero,nought"
れいぞうこ,冷蔵庫,n,refrigerator
レコード,,n,record
レストラン,,n,restaurant
れんしゅう（する）,練習,"n,vs",(to) practice
ろうか,廊下,n,corridor
ろく,六,num,six
ワイシャツ,,n,"shirt (lit: white shirt),business shirt"
わかい,若い,adj,young
わかる,分かる,u-v,to understand
わすれる,忘れる,ru-v,to forget
わたし,私,"adj-no,n","I,myself"
わたくし,私,"adj-no,n","I,myself"
わたす,渡す,u-v,"to pass over,to hand over"
わたる,渡る,u-v,"to cross over,to go across"
わるい,悪い,adj,"bad,inferior"
