Kana,Kanji,Type,Definition/s
くみたてる,組み立てる,v1,"to assemble,to set up,to construct"
くむ,組む,v5m,to put together
くむ,汲む,v5m,"(1) to draw (water),to dip,to scoop,to pump"
くむ,酌む,v5m,to serve sake
くも,雲,n,cloud
くもり,曇,n,"cloudiness,cloudy weather,shadow"
くもる,曇る,v5r,"to become cloudy,to become dim"
くやしい,悔しい,adj,"regrettable,mortifying,vexing"
くやむ,悔やむ,v5m,to mourn
くらい,位,"n-adv,n,suf,vs","grade,rank,about"
くらい,暗い,adj,"dark,gloomy"
~くらい,,,
くらし,暮らし,n,"living,livelihood,subsistence,circumstances"
クラシック,,"adj-na,n",classic(s)
クラス,,n,class
くらす,暮らす,v5s,"to live,to get along"
グラス,,n,"(1) glass,(2) grass"
くらべる,比べる,v1,to compare
グラム,,n,gram
グランド,,n,"gland,grand,(electrical) ground"
クリーニング,,n,"cleaning,dry cleaning,laundry service"
クリーム,,n,cream
くりかえす,繰り返す,v5s,"to repeat,to do something over again"
クリスマス,,n,Christmas
くる,来る,vk,"to come,to come to hand,to arrive"
くるう,狂う,v5u,"to go mad,to get out of order"
グループ,,n,group
くるしい,苦しい,adj,"painful,difficult"
くるしむ,苦しむ,v5m,"to suffer,to groan,to be worried"
くるま,車,n,"car,vehicle,wheel"
くるむ,,v5m,"to be engulfed in,to be enveloped by,to wrap up"
くれ,暮れ,"n-adv,n","year end,sunset,nightfall,end"
くれぐれも,,adv,"repeatedly,sincerely,earnestly"
くれる,,v1,"to get dark,to end,to come to an end,to close,to run out"
くれる,暮れる,v1,"to get dark,to end,to come to an end"
くろ,黒,n,"(1) black,(2) dark"
くろい,黒い,adj,"(1) black,(2) dark"
くろう,苦労,"adj-na,n,vs","troubles,hardships"
くわえる,加える,v1,"to append,to sum up,to add (up)"
くわえる,咥える,,
くわしい,詳しい,adj,"knowing very well,detailed,full,accurate"
くわわる,加わる,v5r,"to join in,to accede to,to increase,to gain in (influence)"
くん,訓,n,native Japanese reading of a Chinese character
~くん,~君,suffix,Mr. (used only for young men or boys)
ぐん,軍,"n,n-suf","army,force,troops"
ぐん,郡,n,"country,district"
ぐんたい,軍隊,n,"army,troops"
くんれん,訓練,"n,vs","practice,training"
け,毛,n,"hair,fur"
~け,~家,,
げ,下,n,"under,below,beneath"
けい,計,"n,n-suf",plan
~けい,~形,,
~けい,~型,,
けいい,敬意,n,"respect,honour"
けいえい,経営,"n,vs","management,administration"
けいかく,計画,"n,vs","plan,project,schedule,scheme,program"
けいかん,警官,n,policeman
けいき,景気,n,"condition,state,business (condition)"
けいけん,経験,"n,vs",experience
けいこ,稽古,n,"practice,training,study"
けいご,敬語,n,"honorific,term of respect"
けいこう,傾向,n,"tendency,trend,inclination"
けいこうとう,蛍光灯,n,"fluorescent lamp,person who is slow to react"
けいこく,警告,"n,vs","warning,advice"
けいざい,経済,n,"economics,business,finance,economy"
けいさつ,警察,n,police
けいさん,計算,"n,vs","calculation,reckoning"
けいじ,掲示,"n,vs","notice,bulletin"
けいじ,刑事,n,"criminal case,(police) detective"
けいしき,形式,n,"form,formality,format,math expression"
げいじゅつ,芸術,n,"(fine) art,the arts"
けいぞく,継続,"n,vs",continuation
けいと,毛糸,n,knitting wool
けいど,経度,n,longitude
けいとう,系統,n,"system,family line,geological formation"
げいのう,芸能,n,"public entertainment,accomplishments,attainments"
けいば,競馬,n,horse racing
けいび,警備,"n,vs","defense,guard,policing,security"
けいやく,契約,n,"contract,compact,agreement"
けいゆ,経由,n,"go by the way,via"
けいようし,形容詞,n,"""true"" adjective"
けいようどうし,形容動詞,n,"adjectival noun,quasi-adjective"
ケーキ,,n,cake
ケース,,n,case
ゲーム,,n,game
けが,怪我,"n,vs","injury (to animate object),hurt"
げか,外科,n,surgical department
けがわ,毛皮,n,"fur,skin,pelt"
げき,劇,n,"drama,play"
げきじょう,劇場,n,"theatre,playhouse"
げきぞう,激増,"n,vs",sudden increase
けさ,今朝,ik,(n-t) this morning
けしき,景色,n,"scenery,scene,landscape"
けしゴム,消しゴム,n,"eraser,India rubber"
げしゃ,下車,"n,vs","alighting,getting off"
げしゅく,下宿,"n,vs","boarding,lodging,boarding house"
げじゅん,下旬,"n-adv,n-t",month (last third of)
けしょう,化粧,n,make-up (cosmetic)
けす,消す,v5s,"to erase,to delete,to turn off power"
げすい,下水,n,"drainage,sewage,ditch,gutter,sewerage"
けずる,削る,v5r,"to cut down little by little,to take a percentage"
けた,桁,n,"column,beam,digit"
げた,下駄,n,"geta (Japanese footwear),wooden clogs"
けち,,"adj-na,n,vs","stinginess,miser,miserliness"
けつあつ,血圧,n,blood pressure
けつえき,血液,n,blood
けっか,結果,"n-adv,n-t","result,consequence"
けっかん,欠陥,n,"defect,fault,deficiency"
げっきゅう,月給,n,monthly salary
けっきょく,結局,"n-adv,n","after all,eventually"
けっこう,結構,"adj-na,n-adv,n","(1) splendid,nice,wonderful"
けっこん,結婚,"adj-no,n,vs",marriage
けっさく,傑作,"adj-na,n","masterpiece,best work,boner,blunder"
けっして,決して,adv,"never,by no means"
けっしん,決心,"n,vs","determination,resolution"
けっせき,欠席,"n,vs","absence,non-attendance"
けってい,決定,n,"decision,determination"
けってん,欠点,n,"faults,defect,weakness"
げつまつ,月末,"n-adv,n-t",end of the month
げつよう,月曜,"n-adv,n-t",Monday
けつろん,結論,n,conclusion
けはい,気配,n,"indication,market trend,worry"
げひん,下品,"adj-na,n","vulgarity,meanness,indecency,coarseness"
けむい,煙い,adj,smoky
けむり,煙,n,"smoke,fumes"
ける,蹴る,v5r,to kick
,けれど/けれども,conj,"but,however"
けわしい,険しい,adj,"inaccessible place,sharp eyes"
けん,券,"n,n-suf","ticket,coupon,bond,certificate"
けん,県,n,prefecture
けん,軒,n,eaves
~けん,~権,,
げん~,現~,,
げんいん,原因,n,"cause,origin,source"
けんか,喧嘩,n,"quarrel,(drunken) brawl,failure"
けんかい,見解,n,"opinion,point of view"
げんかい,限界,n,"limit,bound"
けんがく,見学,"n,vs","inspection,study by observation,field trip"
げんかん,玄関,n,"entranceway,entry hall"
げんき,元気,"adj-na,n","health(y),robust,vigor,energy"
けんきゅう,研究,"n,vs","study,research,investigation"
けんきょ,謙虚,"adj-na,n","modesty,humility"
げんきん,現金,"adj-na,n","cash,ready money,mercenary,self-interested"
げんご,言語,n,language
けんこう,健康,"adj-na,n","health,sound,wholesome"
げんこう,原稿,n,"manuscript,copy"
けんさ,検査,"n,vs","inspection (e.g. customs, factory),examination"
げんざい,現在,"n-adv,n-t","present,up to now,nowadays,modern times,current"
げんさん,原産,n,"place of origin,habitat"
げんし,原始,n,"origin,primeval"
げんじつ,現実,n,reality
けんしゅう,研修,"n,vs",training
げんじゅう,厳重,"adj-na,n","strict,rigour,severe,firm"
げんしょう,現象,n,phenomenon
げんじょう,現状,n,"present condition,existing state,status quo"
けんせつ,建設,"n,vs","construction,establishment"
けんそん,謙遜,"adj-na,n","humble,humility,modesty"
げんだい,現代,"adj-no,n-adv,n","nowadays,modern times,present-day"
けんちく,建築,"n,vs","construction,architecture"
けんちょう,県庁,n,prefectural office
げんど,限度,n,"limit,bounds"
けんとう,見当,n,"be found,aim,estimate,guess,approx"
けんとう,検討,"n,vs","consideration,examination,investigation,study,scrutiny"
げんに,現に,adv,"actually,really"
げんば,現場,n,"actual spot,scene,scene of the crime"
けんびきょう,顕微鏡,n,microscope
けんぶつ,見物,n,"a sight,an attraction,something worth seeing"
けんぽう,憲法,n,constitution
けんめい,懸命,"adj-na,n","eagerness,earnestness,risking one's life"
けんり,権利,n,"right,privilege"
げんり,原理,n,"principle,theory,fundamental truth"
げんりょう,原料,n,raw materials
こ,子,n,"first sign of Chinese zodiac (The Rat, 11pm-1am, north, November)"
こ~,小~,,
~こ,~個,,
~こ,~湖,,
ご,五,num,five
ご,後,"adj-no,n","afterwards,since then,in the future"
ご,語,"n,n-suf","language,word"
ご,碁,n,Go (board game of capturing territory)
~ご,~御,,
こい,恋,"n,vs","love,tender passion"
こい,濃い,adj,"thick (as of color, liquid),dense,strong"
こいしい,恋しい,adj,"(1) dear,beloved,darling,(2) yearned for"
こいびと,恋人,n,"lover,sweetheart"
こう,請う,n,"to ask,to request"
こう~,高~,,
~こう,~校,,
~こう,~港,,
~ごう,~号,,
こういん,工員,n,factory worker
ごういん,強引,"adj-na,n","overbearing,coercive,pushy,forcible,high-handed"
こううん,幸運,"adj-na,n","good luck,fortune"
こうえん,公園,n,(public) park
こうえん,講演,"n,vs","lecture,address"
こうか,効果,"n,adj-no","effect,effectiveness,efficacy,result"
こうか,硬貨,n,coin
こうか,高価,"adj-na,n",high price
ごうか,豪華,"adj-na,n","wonderful,gorgeous,splendor,pomp,extravagance"
こうがい,郊外,n,"suburb,outskirts"
こうがい,公害,n,"public nuisance,pollution"
ごうかく,合格,"n,vs","success,passing (e.g. exam),eligibility"
こうかん,交換,"n,vs","exchange,interchange,reciprocity"
こうぎ,講義,"n,vs",lecture
こうきゅう,高級,"adj-na,n","high class,high grade"
こうきょう,公共,"adj-no,n","public,community,public service,society,communal"
こうぎょう,工業,n,(manufacturing) industry
こうくう,航空,n,"aviation,flying"
こうけい,光景,n,"scene,spectacle"
こうげい,工芸,n,industrial arts
ごうけい,合計,"n,vs","sum total,total amount"
こうげき,攻撃,"n,vs","attack,strike,offensive,criticism,censure"
こうけん,貢献,"n,vs","contribution,services"
こうこう,孝行,"adj-na,n",filial piety
こうこう,高校,n,senior high school
こうこく,広告,n,advertisement
こうさ,交差,"n,vs",cross
こうさい,交際,"n,vs","company,friendship,association,society,acquaintance"
こうさてん,交差点,n,"crossing,intersection"
こうし,講師,n,lecturer
こうじ,工事,n,construction work
こうしき,公式,"adj-na,n","formula,formality,official"
こうじつ,口実,n,excuse
こうして,こうして,,thus
こうしゃ,校舎,n,school building
こうしゃ,後者,n,the latter
こうしゅう,公衆,n,the public
こうじょう,工場,n,"factory,plant,mill,workshop"
こうば,工場,n,"factory,plant,mill,workshop"
こうすい,香水,n,perfume
こうせい,公正,"adj-na,n","justice,fairness,impartiality"
こうせい,構成,"n,vs","organization,composition"
こうせき,功績,n,"achievements,merit,meritorious service,meritorious deed"
こうせん,光線,n,"beam,light ray"
こうそう,高層,n,upper
こうぞう,構造,n,"structure,construction"
こうそく,高速,"adj-na,n","high speed,high gear"
こうたい,交替,"n,vs","alternation,change,relief,relay,shift"
こうち,耕地,n,arable land
こうちゃ,紅茶,n,black tea
こうつう,交通,n,"communication,transportation,traffic,intercourse"
こうつうきかん,交通機関,n,transportation facilities
こうてい,校庭,n,campus
こうてい,肯定,n,"positive,affirmation"
こうど,高度,"adj-na,n","altitude,height,advanced"
こうとう,高等,"adj-na,n","high class,high grade"
こうどう,行動,"n,vs","action,conduct,behaviour,mobilization"
こうどう,講堂,n,auditorium
ごうとう,強盗,n,"robbery,burglary"
ごうどう,合同,"adj-na,n","combination,incorporation,union,amalgamation"
こうとうがっこう,高等学校,,senior high school
こうはい,後輩,n,junior (at work or school)
こうばん,交番,n,police box
こうひょう,公表,"n,vs","official announcement,proclamation"
こうふく,幸福,"adj-na,n","happiness,blessedness"
こうぶつ,鉱物,n,mineral
こうへい,公平,"adj-na,n","fairness,impartial,justice"
こうほ,候補,n,candidacy
こうむ,公務,n,"official business,public business"
こうもく,項目,n,item
こうよう,紅葉,n,(1) (Japanese) maple
ごうり,合理,n,rational
こうりゅう,交流,n,"alternating current,intercourse,(cultural) exchange,intermingling"
ごうりゅう,合流,"n,vs","confluence,union,linking up,merge"
こうりょ,考慮,"n,vs","consideration,taking into account"
こうりょく,効力,n,"effect,efficacy,validity,potency"
こえ,声,n,voice
こえる,越える,v1,"to exceed,to cross over,to cross"
こえる,超える,v1,"to exceed,to cross over,to cross"
コース,,n,course
コーチ,,n,coach
コート,,n,"coat,tennis court"
コード,,n,"code,cord,chord"
コーヒー,,n,coffee
コーラス,,n,chorus
こおり,氷,,"ice,hail"
こおる,凍る,v5r,"to freeze,to be frozen over,to congeal"
ゴール,,n,goal
ごかい,誤解,"n,vs",misunderstanding
ごがく,語学,n,language study
こがす,焦がす,v5s,"to burn,to scorch,to singe,to char"
こきゅう,呼吸,"n,vs","breath,respiration"
こきょう,故郷,n,"home town,birthplace,old village,historic village"
~こく,~国,,
ごく,極,"adv,n","quite,very"
こくおう,国王,n,king
こくご,国語,n,national language
こくさい,国際,n,international
こくせき,国籍,n,nationality
こくばん,黒板,n,blackboard
こくふく,克服,n,"subjugation,conquest"
こくみん,国民,n,"national,people,citizen"
こくもつ,穀物,n,"grain,cereal,corn"
こくりつ,国立,n,national
ごくろうさま,,"adj-na,n",Thank you very much for your....
こげる,焦げる,"v1,vi","to burn,to be burned"
ここ,ここ,n,here
ごご,午後,"n-adv,n-t","afternoon,p.m.,pm"
こごえる,凍える,v1,"to freeze,to be chilled,to be frozen"
ここのか,九日,,"nine days,the ninth day (of the month)"
ここのつ,九つ,n,nine
こころ,心,n,"core,heart,wick,marrow"
こころあたり,心当たり,n,"having some knowledge of,happening to know"
こころえる,心得る,v1,"to be informed,to have thorough knowledge"
こし,腰,n,hip
こしかけ,腰掛け,n,"seat,bench"
こしかける,腰掛ける,v1,to sit (down)
ごじゅうおん,五十音,n,the Japanese syllabary
こしょう,故障,"n,vs","break-down,failure,accident,out of order"
こしょう,胡椒,n,pepper
こしらえる,,v1,"to make,to manufacture"
こじん,個人,"adj-no,n","individual,private person,personal,private"
こす,越す,v5s,to go over (e.g. with audience)
こす,超す,v5s,"to cross,to pass,to tide over"
こする,擦る,v5r,"to rub,to chafe,to file,to frost (glass),to strike (match)"
ごぜん,午前,"n-adv,n-t","morning,A.M."
ごぞんじですか,,,
こたい,個体,n,an individual
こたえ,答,n,"answer,response"
こたえる,答える,v1,"to answer,to reply"
ごちそう,御馳走,"n,vs","feast,treating (someone)"
ごちそうさま,,int,feast
こちら,,n,"(1) this person,(2) this direction,(3) this side"
こっち,,n,"(1) this person,(2) this direction,(3) this side"
こちらこそ,,exp,it is I who should say so
こっか,国家,n,"state,country,nation"
こっかい,国会,n,"National Diet,parliament,congress"
こづかい,小遣い,n,"personal expenses,pocket money,spending money,incidental expenses,allowance"
こっきょう,国境,n,national or state border
コック,,n,"(1) cook (nl:),(2) tap,spigot,faucet,cock"
こっせつ,骨折,n,bone fracture
こっそり,,adv,"stealthily,secretly"
こづつみ,小包,n,"parcel,package"
コップ,,n,(a) glass (nl: Kop)
こてん,古典,n,"old book,classics,classic"
こと,事,n,"thing,matter,fact,circumstances"
こと,琴,n,Koto (Japanese harp)
~ごと,~毎,,
（まるごと）,~ごと,,
ことし,今年,"n-adv,n-t",this year
ことづける,言付ける,v1,"to send word,to send a message"
ことなる,異なる,v5r,"to differ,to vary,to disagree"
ことば,言葉,n,"word(s),language,speech"
ことばづかい,言葉遣い,n,"speech,expression,wording"
こども,子供,n,"child,children"
ことり,小鳥,n,small bird
ことわざ,諺,n,"proverb,maxim"
ことわる,断る,v5r,"to refuse,to decline,to dismiss"
こな,粉,n,"flour,meal,powder"
この,この,"adj-pn,int",this
このあいだ,,n-adv,"the other day,recently,lately,during this period"
こないだ,,"n-adv,n-t","the other day,lately,recently"
このごろ,,,"these days,nowadays"
このみ,好み,n,"liking,taste,choice"
このむ,好む,v5m,"to like,to prefer"
ごはん,御飯,n,"rice (cooked),meal"
コピー,,n,"(1) a (photo)copy,(2) blurb on a book jacket"
ごぶさた,御無沙汰,"n,vs",not writing or contacting for a while
こぼす,,"v5s,vt",to spill
こぼれる,,"v1,vi","to overflow,to spill"
こまかい,細かい,adj,"(1) small,(2) fine,minute"
こまる,困る,v5r,"to be worried,to be bothered"
ごみ,塵,n,"dust,dirt"
ごみ,塵芥,n,"trash,rubbish"
~こむ,~込む,,
ゴム,,n,"gum,rubber,eraser"
こむぎ,小麦,n,wheat
こめ,米,n,uncooked rice
ごめん,御免,"int,n","your pardon,declining (something),dismissal,permission"
ごめんください,,"exp,int",May I come in?
ごめんなさい,,"exp,int","I beg your pardon,excuse me"
こや,小屋,n,"hut,cabin,shed,(animal) pen"
こゆび,小指,n,little finger
こらえる,,v1,"to bear,to stand,to endure,to put up with"
ごらく,娯楽,n,"pleasure,amusement"
ごらん,御覧,"int,n","(hon) look,inspection,try"
これ,,"int,n",this
コレクション,,n,"(1) collection,(2) correction"
これら,,uk,these
ころ,頃,"n-adv,n,n-suf","time,about,toward,approximately (time)"
ころがす,転がす,"v5s,vt",to roll
ころがる,転がる,v5r,"to roll,to tumble"
ころす,殺す,v5s,to kill
ころぶ,転ぶ,v5b,"to fall down,to fall over"
こわい,怖い,adj,"scary,frightening,eerie,dreadful"
こわす,壊す,"v5s,vt","to break,to break down"
こわれる,壊れる,"v1,vi","to be broken,to break"
こん,紺,n,"navy blue,deep blue"
こん~,今~,,
こんかい,今回,"n-adv,n-t","now,this time,lately"
コンクール,,n,contest (fr: concours)
コンクリート,,n,concrete
こんご,今後,"n-adv,n-t","from now on,hereafter"
こんごう,混合,"n,vs","mixing,mixture"
コンサート,,n,concert
こんざつ,混雑,"n,vs","confusion,congestion"
コンセント,,n,"(1) consent,(2) concentric"
こんだて,献立,n,"menu,program,schedule"
こんど,今度,"n-adv,n-t","now,this time,next time,another time"
こんな,,"adj-na,adj-pn,adv,n","such,like this"
こんなに,,n,"so,like this,in this way"
こんなん,困難,"adj-na,n","difficulty,distress"
こんにち,今日,n-t,"today,this day"
こんにちは,,int,"hello,good day (daytime greeting, id)"
こんばんは,,"exp,int",good evening
コンピューター,,n,computer
こんやく,婚約,"n,vs","engagement,betrothal"
こんらん,混乱,"n,vs","disorder,chaos,confusion,mayhem"
さ,差,"n,n-suf","difference,variation"
さあ,,"conj,int","come (int),come now"
サークル,,n,"circle,sports club (i.e. at a company)"
サービス,,n,"(1) service,support system,(2) goods or services without charge"
さい,際,"n-adv,n","on the occasion of,circumstances"
さい~,再~,,
さい~,最~,,
~さい,~歳,,
~さい,~祭,,
ざいがく,在学,n,(enrolled) in school
さいきん,最近,"adj-no,n-adv,n-t","latest,most recent,nowadays"
さいご,最後,n,"last,end,conclusion"
さいこう,最高,"adj-na,n","highest,supreme,the most"
さいさん,再三,"adv,n","again and again,repeatedly"
ざいさん,財産,n,"property,fortune,assets"
さいじつ,祭日,n,"national holiday,festival day"
さいしゅう,最終,n,"last,final,closing"
さいしょ,最初,"adj-no,n-adv,n-t","beginning,outset,first,onset"
さいそく,催促,"n,vs","request,demand,claim,urge (action),press for"
さいちゅう,最中,"n-adv,n",in the middle of
さいてい,最低,"adj-na,adv,n","least,lowest,worst"
さいてん,採点,"n,vs","marking,grading,looking over"
さいなん,災難,n,"calamity,misfortune"
さいのう,才能,n,"talent,ability"
さいばん,裁判,"n,vs","trial,judgement"
さいふ,財布,n,"purse,wallet"
さいほう,裁縫,n,sewing
ざいもく,材木,n,"lumber,timber"
ざいりょう,材料,n,"ingredients,material"
サイレン,,n,siren
さいわい,幸い,"adj-na,adv,n","happiness,blessedness"
サイン,,n,"(1) autograph,(2) sign,(3) sine"
さか,坂,n,"slope,hill"
さかい,境,n,"border,boundary,mental state"
さかさ,逆さ,n,"reverse,inversion,upside down"
さかさま,逆様,"adj-na,adj-no,n","inversion,upside down"
さがす,捜す,v5s,"to search,to seek,to look for"
さがす,探す,v5s,"to search,to seek,to look for"
さかな,魚,n,fish
さかのぼる,遡る,v5r,"to go back,to go upstream,to make retroactive"
さかば,酒場,n,"bar,bar-room"
さからう,逆らう,v5u,"to go against,to oppose,to disobey,to defy"
さかり,盛り,n,"helping,serving"
さがる,下る,v5r,"to get down,to descend"
さかん,盛ん,"adj-na,n","popularity,prosperous"
さき,先,"adj-no,n","the future,priority,precedence,former,previous"
さきおととい,,"n-adv,n-t",two days before yesterday
さきほど,先程,"n-adv,n-t",some time ago
さぎょう,作業,n,"work,operation,manufacturing,fatigue duty"
さく,咲く,v5k,to bloom
さく,裂く,v5k,"to tear,to split"
さく,昨,pref,"last (year),yesterday"
さくいん,索引,n,"index,indices"
さくしゃ,作者,n,"author,authoress"
さくじょ,削除,"n,vs","elimination,cancellation,deletion,erasure"
さくせい,作成,"n,vs","frame,draw up,make,producing"
さくせい,作製,"n,vs",manufacture
さくひん,作品,n,"work,opus,performance,production"
さくぶん,作文,n,"composition,writing"
さくもつ,作物,n,"produce (e.g. agricultural),crops"
さくら,桜,n,"cherry blossom,cherry tree"
さぐる,探る,v5r,"to search,to look for,to sound out"
さけ,酒,n,"alcohol,sake"
さけぶ,叫ぶ,v5b,"to shout,to cry"
さける,避ける,v1,"(1) to avoid (physical contact ),(2) to ward off,to avert"
さげる,下げる,v1,"to hang,to lower,to move back"
ささえる,支える,v1,"to be blocked,to choke,to be obstructed"
ささやく,囁く,v5k,"to whisper,to murmur"
ささる,刺さる,v5r,"to stick,to be stuck"
さじ,匙,n,spoon
さしあげる,差し上げる,v1,"(pol) to give,to hold up,to lift up,to offer"
ざしき,座敷,n,tatami room
さしつかえ,差し支え,n,"hindrance,impediment"
さしひき,差し引き,n,"deduction,subtraction,balance,ebb and flow,rise and fall"
さしみ,刺身,n,sliced raw fish
さす,刺す,v5s,"to pierce,to stab,to prick,to thrust"
さす,差す,v5s,"to raise (stretch out) hands,to raise umbrella"
さす,指す,v5s,"to point,to put up umbrella,to play"
さす,挿す,v5s,"to insert,to put in,to graft,to wear in belt"
さす,注す,v5s,"to pour (drink),to serve (drinks)"
さす,射す,v5s,"to shine,to strike"
（傘を~）,さす,v5s,"to light (a fire),to apply moxa cautery"
さすが,流石,"adj-na,adv,n","clever,adept,good,expectations,as one would expect"
ざせき,座席,n,seat
さそう,誘う,v5u,"(1) to invite,to ask,(2) to tempt,to lure,to induce"
さつ,札,n,"(1) token,label,(2) ticket,(3) charm"
~さつ,~冊,,counter for volumes
さつえい,撮影,"n,vs",photographing
ざつおん,雑音,n,"noise (jarring, grating)"
さっか,作家,n,"author,writer,novelist,artist"
さっき,,n,thirst for blood
さっきょく,作曲,"n,vs","composition,setting (of music)"
さっさと,,"adv,n",quickly
ざっし,雑誌,n,"journal,magazine"
さっそく,早速,adv,"at once,immediately,without delay,promptly"
ざっと,,adv,"roughly,in round numbers"
さっぱり,,"adj-na,adv,n,vs","feeling refreshed,feeling relieved,neat,trimmed"
さて,,"conj,int (uk)","well,now,then"
さとう,砂糖,n,sugar
さばく,砂漠,n,desert
さび,錆,n,rust (colour)
さびしい,寂しい,adj,"lonely,lonesome,solitary,desolate"
さびる,錆びる,"v1,vi","to rust,to become rusty"
ざぶとん,座布団,n,cushion (Japanese)
さべつ,差別,"n,vs","discrimination,distinction,differentiation"
さほう,作法,n,"manners,etiquette,propriety"
~さま,~様,,
さまざま,様々,"adj-na,n","varied,various"
さます,冷ます,"v5s,vt","to cool,to dampen,to let cool"
さます,覚ます,v5s,to awaken
さまたげる,妨げる,v1,"to disturb,to prevent"
さむい,寒い,adj,cold (e.g. weather)
さめる,冷める,v1,"to become cool,to wear off,to abate,to subside"
さめる,覚める,v1,"to wake,to wake up"
さゆう,左右,"n,vs","(1) left and right,(2) influence,control,domination"
さようなら,,"conj,int",good-bye
さら,皿,n,"plate,dish"
さらいげつ,再来月,"n-adv,n-t",month after next
さらいしゅう,再来週,"n-adv,n-t",week after next
さらいねん,再来年,"n-adv,n-t",year after next
サラダ,,n,salad
さらに,更に,"adv,conj","furthermore,again,after all,more and more,moreover"
サラリーマン,,n,"salary man,company employee"
さる,去る,v5r,"to leave,to go away"
さる,猿,n,monkey
さわがしい,騒がしい,adj,noisy
さわぎ,騒ぎ,"n,n-suf","uproar,disturbance"
さわぐ,騒ぐ,v5g,"to make noise,to clamor,to be excited,to be alarmed"
さわやか,,"adj-na,n","fresh,refreshing,invigorating"
さわる,触る,v5r,"to touch,to feel"
さん,三,num,three
~さん,~山,,
~さん,~産,,
~さん,~様,,
さんか,参加,"n,vs",participation
さんかく,三角,n,"triangle,triangular"
さんぎょう,産業,n,industry
さんこう,参考,"n,vs","reference,consultation"
さんすう,算数,n,arithmetic
Uӣ[い,賛成,"n,vs","approval,agreement,support,favour"
さんせい,酸性,n,acidity
さんそ,酸素,n,oxygen
サンダル,,n,sandal
さんち,産地,n,producing area
サンドイッチ,,n,sandwich
ざんねん,残念,"adj-na,n","deplorable,bad luck,regret,disappointment"
サンプル,,n,sample
さんぽ,散歩,"n,vs","walk,stroll"
さんりん,山林,n,"mountain forest,mountains and forest"
し,四,num,four
し,市,n-suf,city
し,氏,n,"family name,lineage,birth"
し,詩,n,"poem,verse of poetry"
~し,~史,,
~し,~紙,,
~じ,~時,,
~じ,~寺,,
しあい,試合,n,"match,game,bout,contest"
しあがる,仕上がる,"v5r,vi",to be finished
しあさって,,"n-adv,n-t",two days after tomorrow
しあわせ,幸せ,"adj-na,n","happiness,good fortune,luck,blessing"
シーズン,,n,season (sporting)
シーツ,,n,sheet
じいん,寺院,n,temple
（する）,しいんと,"adv,n","silent (as the grave),(deathly) quiet"
ジーンズ,,n,jeans
じえい,自衛,n,self-defense
ジェットき,ジェット機,n,jet aeroplane
しお,塩,n,salt
しおからい,塩辛い,adj,salty (taste)
しかい,司会,"n,vs",chairmanship
しかく,四角,"adj-na,n",square
しかくい,四角い,adj,square
しかし,,conj,"however,but"
しかた,仕方,n,"way,method,means"
しかたがない,,"adj,exp","it can't be helped,it's inevitable"
じかに,直に,adv,"immediately,readily,directly"
しかも,,conj,"moreover,furthermore,nevertheless,and yet"
しかる,叱る,v5r,to scold
じかん,時間,"n-adv,n",time
~じかん,~時間,,
~じかんめ,~時間目,,
じかんわり,時間割,n,"timetable,schedule"
しき,式,"n,n-suf","equation,formula,ceremony"
（日本式）,~しき,,
しき,四季,n,four seasons
じき,直,,"earnestly,immediately,exactly"
じき,時期,"n-adv,n-t","time,season,period"
しきち,敷地,n,site
しきゅう,支給,n,"payment,allowance"
しきゅう,至急,"adv,n","urgent,pressing"
しきりに,,adv,"frequently,repeatedly,incessantly,eagerly"
しく,敷く,v5k,"to spread out,to lay out"
しげき,刺激,"n,vs","stimulus,impetus,incentive"
しげる,茂る,v5r,"to grow thick,to luxuriate,to be luxurious"
しけん,試験,"n,vs","examination,test,study"
しげん,資源,n,resources
じけん,事件,n,"event,affair,incident"
じこ,事故,n,"accident,incident"
じこく,時刻,"n-adv,n-t","instant,time,moment"
しごと,仕事,"adj-no,n","work,occupation,employment"
じさつ,自殺,"n,vs",suicide
じさん,持参,"n,vs","bringing,taking,carrying"
じじつ,事実,"n-adv,n","fact,truth,reality"
じしゃく,磁石,n,magnet
ししゃごにゅう,四捨五入,n,rounding up (fractions)
しじゅう,始終,"adv,n","continuously,from beginning to end"
じしゅう,自習,"n,vs",self-study
ししゅつ,支出,n,"expenditure,expenses"
じしょ,辞書,n,"dictionary,lexicon"
じじょう,事情,n,"circumstances,consideration,conditions,situation,reasons"
しじん,詩人,n,poet
じしん,自身,n,"by oneself,personally"
じしん,地震,n,earthquake
しずか,静か,adj-na,"quiet,peaceful"
しずまる,静まる,v5r,"to quieten down,to calm down,to subside"
しずむ,沈む,v5m,"to sink,to feel depressed"
しせい,姿勢,n,"attitude,posture"
しぜんかがく,自然科学,,natural science
しぜん,自然,"adj-na,adv,n","nature,spontaneous"
しそう,思想,n,"thought,idea"
じそく,時速,n,speed (per hour)
しそん,子孫,n,"descendants,posterity,offspring"
した,下,n,"under,below,beneath"
した,舌,n,tongue
したい,死体,n,corpse
しだい,次第,"n-adv,n","(1) order,precedence,(2) circumstances,(3) immediate(ly)"
じたい,事態,n,"situation,present state of affairs"
じだい,時代,n-t,"period,epoch,era"
したがう,従う,v5u,"to abide (by the rules),to obey,to follow,to accompany"
したがき,下書き,n,"rough copy,draft"
したがって,したがって,conj,"therefore,consequently,in accordance with"
したぎ,下着,n,underwear
